valid_time,temperature_c
2016-04-30 00:00:00,17.328766
2016-04-30 01:00:00,16.668
2016-04-30 02:00:00,15.154144
2016-04-30 03:00:00,12.988129
2016-04-30 04:00:00,11.550018
2016-04-30 05:00:00,10.570892
2016-04-30 06:00:00,9.834625
2016-04-30 07:00:00,9.9711
2016-04-30 08:00:00,9.30545
2016-04-30 09:00:00,8.7211
2016-04-30 10:00:00,8.218109
2016-04-30 11:00:00,7.78714
2016-04-30 12:00:00,7.285309
2016-04-30 13:00:00,7.9006653
2016-04-30 14:00:00,10.038239
2016-04-30 15:00:00,12.204498
2016-04-30 16:00:00,13.862518
2016-04-30 17:00:00,14.978058
2016-04-30 18:00:00,15.437714
2016-04-30 19:00:00,15.850861
2016-04-30 20:00:00,15.852936
2016-04-30 21:00:00,15.898956
2016-04-30 22:00:00,16.095673
2016-04-30 23:00:00,15.933807
2016-05-01 00:00:00,15.741119
2016-05-01 01:00:00,15.283417
2016-05-01 02:00:00,14.376923
2016-05-01 03:00:00,12.357208
2016-05-01 04:00:00,11.018158
2016-05-01 05:00:00,9.88089
2016-05-01 06:00:00,8.8402405
2016-05-01 07:00:00,7.9066467
2016-05-01 08:00:00,7.0638733
2016-05-01 09:00:00,6.373871
2016-05-01 10:00:00,5.7414856
2016-05-01 11:00:00,5.2082214
2016-05-01 12:00:00,4.8197327
2016-05-01 13:00:00,5.5936584
2016-05-01 14:00:00,8.382111
2016-05-01 15:00:00,11.841583
2016-05-01 16:00:00,14.274567
2016-05-01 17:00:00,16.257172
2016-05-01 18:00:00,17.663727
2016-05-01 19:00:00,19.07663
2016-05-01 20:00:00,20.106781
2016-05-01 21:00:00,20.9393
2016-05-01 22:00:00,21.53061
2016-05-01 23:00:00,21.868622
2016-05-02 00:00:00,21.819977
2016-05-02 01:00:00,21.286469
2016-05-02 02:00:00,19.481354
2016-05-02 03:00:00,17.227142
2016-05-02 04:00:00,15.417511
2016-05-02 05:00:00,14.15567
2016-05-02 06:00:00,13.097137
2016-05-02 07:00:00,12.56369
2016-05-02 08:00:00,11.607208
2016-05-02 09:00:00,10.90567
2016-05-02 10:00:00,10.304413
2016-05-02 11:00:00,9.67215
2016-05-02 12:00:00,9.055084
2016-05-02 13:00:00,9.344025
2016-05-02 14:00:00,12.248413
2016-05-02 15:00:00,15.813507
2016-05-02 16:00:00,18.915436
2016-05-02 17:00:00,21.480774
2016-05-02 18:00:00,23.318756
2016-05-02 19:00:00,24.884247
2016-05-02 20:00:00,25.634308
2016-05-02 21:00:00,26.161774
2016-05-02 22:00:00,26.460663
2016-05-02 23:00:00,26.48117
2016-05-03 00:00:00,26.191925
2016-05-03 01:00:00,24.828217
2016-05-03 02:00:00,23.227753
2016-05-03 03:00:00,20.523468
2016-05-03 04:00:00,17.839874
2016-05-03 05:00:00,16.367096
2016-05-03 06:00:00,15.483246
2016-05-03 07:00:00,15.3576355
2016-05-03 08:00:00,14.764984
2016-05-03 09:00:00,14.290314
2016-05-03 10:00:00,13.800018
2016-05-03 11:00:00,13.348419
2016-05-03 12:00:00,12.921051
2016-05-03 13:00:00,13.715118
2016-05-03 14:00:00,15.616119
2016-05-03 15:00:00,18.20462
2016-05-03 16:00:00,20.550323
2016-05-03 17:00:00,22.642792
2016-05-03 18:00:00,24.46878
2016-05-03 19:00:00,26.597992
2016-05-03 20:00:00,27.322845
2016-05-03 21:00:00,28.073456
2016-05-03 22:00:00,28.24759
2016-05-03 23:00:00,27.916718
