valid_time,temperature_c
2016-04-30 00:00:00,17.723297
2016-04-30 01:00:00,17.110382
2016-04-30 02:00:00,15.532013
2016-04-30 03:00:00,13.315216
2016-04-30 04:00:00,11.863434
2016-04-30 05:00:00,10.869659
2016-04-30 06:00:00,10.103058
2016-04-30 07:00:00,10.296234
2016-04-30 08:00:00,9.639374
2016-04-30 09:00:00,9.070709
2016-04-30 10:00:00,8.58139
2016-04-30 11:00:00,8.138702
2016-04-30 12:00:00,7.6662292
2016-04-30 13:00:00,8.256256
2016-04-30 14:00:00,10.380157
2016-04-30 15:00:00,12.518097
2016-04-30 16:00:00,14.218109
2016-04-30 17:00:00,15.412628
2016-04-30 18:00:00,15.856598
2016-04-30 19:00:00,16.19754
2016-04-30 20:00:00,16.147919
2016-04-30 21:00:00,16.139252
2016-04-30 22:00:00,16.337921
2016-04-30 23:00:00,16.230682
2016-05-01 00:00:00,16.032013
2016-05-01 01:00:00,15.567474
2016-05-01 02:00:00,14.666962
2016-05-01 03:00:00,12.6111145
2016-05-01 04:00:00,11.278961
2016-05-01 05:00:00,10.150543
2016-05-01 06:00:00,9.117706
2016-05-01 07:00:00,8.192902
2016-05-01 08:00:00,7.3404236
2016-05-01 09:00:00,6.612335
2016-05-01 10:00:00,5.935028
2016-05-01 11:00:00,5.363739
2016-05-01 12:00:00,4.9459534
2016-05-01 13:00:00,5.7374573
2016-05-01 14:00:00,8.484833
2016-05-01 15:00:00,11.845734
2016-05-01 16:00:00,14.374298
2016-05-01 17:00:00,16.448639
2016-05-01 18:00:00,17.90982
2016-05-01 19:00:00,19.340302
2016-05-01 20:00:00,20.383087
2016-05-01 21:00:00,21.219452
2016-05-01 22:00:00,21.817596
2016-05-01 23:00:00,22.171234
2016-05-02 00:00:00,22.138153
2016-05-02 01:00:00,21.596893
2016-05-02 02:00:00,19.831757
2016-05-02 03:00:00,17.552216
2016-05-02 04:00:00,15.587433
2016-05-02 05:00:00,14.25235
2016-05-02 06:00:00,13.116791
2016-05-02 07:00:00,12.529572
2016-05-02 08:00:00,11.491058
2016-05-02 09:00:00,10.722137
2016-05-02 10:00:00,10.036957
2016-05-02 11:00:00,9.366547
2016-05-02 12:00:00,8.761261
2016-05-02 13:00:00,9.263153
2016-05-02 14:00:00,12.166626
2016-05-02 15:00:00,15.732758
2016-05-02 16:00:00,18.7995
2016-05-02 17:00:00,21.393066
2016-05-02 18:00:00,23.316864
2016-05-02 19:00:00,25.001373
2016-05-02 20:00:00,25.8013
2016-05-02 21:00:00,26.354156
2016-05-02 22:00:00,26.673492
2016-05-02 23:00:00,26.712616
2016-05-03 00:00:00,26.455536
2016-05-03 01:00:00,25.059723
2016-05-03 02:00:00,23.390778
2016-05-03 03:00:00,20.5372
2016-05-03 04:00:00,17.872986
2016-05-03 05:00:00,16.40207
2016-05-03 06:00:00,15.486969
2016-05-03 07:00:00,15.422943
2016-05-03 08:00:00,14.769745
2016-05-03 09:00:00,14.240387
2016-05-03 10:00:00,13.737457
2016-05-03 11:00:00,13.272247
2016-05-03 12:00:00,12.838104
2016-05-03 13:00:00,13.596222
2016-05-03 14:00:00,15.5295105
2016-05-03 15:00:00,18.241974
2016-05-03 16:00:00,20.590668
2016-05-03 17:00:00,22.741608
2016-05-03 18:00:00,24.658478
2016-05-03 19:00:00,26.87149
2016-05-03 20:00:00,27.685211
2016-05-03 21:00:00,28.499298
2016-05-03 22:00:00,28.687103
2016-05-03 23:00:00,28.37082
